yearbuilt,improvval,landval,parval,usedesc,zoning
2003.0,463382,446630,910012,Single Family Detached,AR-1-1
1945.0,369792,318590,688382,Single Family Detached,R1
2003.0,420849,255298,676147,Single Family Detached,SPA-SEH-R
1966.0,141714,421325,563039,Multi-Family Residential,LJSPD-V
2001.0,0,0,0,Resort,C-T-Q
1989.0,175240,225312,400552,Multi-Family Residential,RM-B
1989.0,201629,387340,588969,Single Family Detached,RLM
1987.0,322832,465608,788440,Single Family Detached,RS-1-7
1996.0,254204,358493,612697,Single Family Detached,RS-1-14
1983.0,388309,117323,505632,Multi-Family Residential,RM-B
2020.0,741783,265302,1007085,Spaced Rural Residential,A70-AR(L -D(- -LOT(2AC -BT(C -MFAR(- -FAR(- -H(G -COV(- -SB(C -OS(- -SR(-
1984.0,148190,98790,246980,Single Family Multiple-Units,R3P8
2019.0,4466988,9550872,14017860,Single Family Multiple-Units,RMS
1981.0,212021,77928,289949,Single Family Detached,RS-1-14
1999.0,853291,468708,1321999,Single Family Detached,A70-AR(L -D(- -LOT(1AC -BT(C -MFAR(- -FAR(- -H(G -COV(- -SB(C -OS(- -SR(POR F
1969.0,220189,220189,440378,Single Family Detached,RS-AR(Q -D(- -LOT(6000 -BT(C -MFAR(- -FAR(- -H(G -COV(- -SB(J -OS(- -SR(-
1954.0,55462,28958,84420,Single Family Detached,RS-1-7
1974.0,106485,56790,163275,Multi-Family Residential,RM-1-1
